Date,Open,High,Low,Close,Adj Close,Volume
24/11/21,1080.39,1132.77,1062.00,1116.00,1116.00,22560200
26/11/21,1099.47,1108.78,1081.00,1081.92,1081.92,11680900
29/11/21,1100.99,1142.67,1100.19,1136.99,1136.99,19464500
30/11/21,1144.37,1168.00,1118.00,1144.76,1144.76,27092000
01/12/21,1160.70,1172.84,1090.76,1095.00,1095.00,22816800
02/12/21,1099.06,1113.00,1056.65,1084.60,1084.60,24371600
03/12/21,1084.79,1090.58,1000.21,1014.97,1014.97,30774000
06/12/21,1001.51,1021.64,950.50,1009.01,1009.01,27221000
07/12/21,1044.20,1057.67,1026.81,1051.75,1051.75,18694900
08/12/21,1052.71,1072.38,1033.00,1068.96,1068.96,13968800
09/12/21,1060.64,1062.49,1002.36,1003.80,1003.80,19812800
10/12/21,1008.75,1020.98,982.53,1017.03,1017.03,19888100
13/12/21,1001.09,1005.00,951.42,966.41,966.41,26198500
14/12/21,945.00,966.41,930.00,958.51,958.51,23602100
15/12/21,953.21,978.75,928.25,975.99,975.99,25056400
16/12/21,994.50,994.98,921.85,926.92,926.92,27590500
17/12/21,914.77,960.66,909.04,932.57,932.57,33479100
20/12/21,910.70,921.69,893.39,899.94,899.94,18826700
21/12/21,916.87,939.50,886.12,938.53,938.53,23839300
22/12/21,965.66,1015.66,957.05,1008.87,1008.87,31211400
23/12/21,1006.80,1072.98,997.56,1067.00,1067.00,30904400
27/12/21,1073.67,1117.00,1070.72,1093.94,1093.94,23715300
28/12/21,1109.49,1119.00,1078.42,1088.47,1088.47,20108000
29/12/21,1098.64,1104.00,1064.14,1086.19,1086.19,18718000
30/12/21,1061.33,1095.55,1053.15,1070.34,1070.34,15680300
31/12/21,1073.44,1082.00,1054.59,1056.78,1056.78,13577900
03/01/22,1147.75,1201.07,1136.04,1199.78,1199.78,34643800
04/01/22,1189.55,1208.00,1123.05,1149.59,1149.59,33416100
05/01/22,1146.65,1170.34,1081.01,1088.12,1088.12,26706600
06/01/22,1077.00,1088.00,1020.50,1064.70,1064.70,30112200
07/01/22,1080.37,1080.93,1010.00,1026.96,1026.96,28054900
10/01/22,1000.00,1059.10,980.00,1058.12,1058.12,30605000
11/01/22,1053.67,1075.85,1038.82,1064.40,1064.40,22021100
12/01/22,1078.85,1114.84,1072.59,1106.22,1106.22,27913000
13/01/22,1109.07,1115.60,1026.54,1031.56,1031.56,32403300
14/01/22,1019.88,1052.00,1013.38,1049.61,1049.61,24308100
18/01/22,1026.61,1070.79,1016.06,1030.51,1030.51,22247800
19/01/22,1041.71,1054.67,995.00,995.65,995.65,25147500
20/01/22,1009.73,1041.66,994.00,996.27,996.27,23496200
21/01/22,996.34,1004.55,940.50,943.90,943.90,34472000
24/01/22,904.76,933.51,851.47,930.00,930.00,50521900
25/01/22,914.20,951.26,903.21,918.40,918.40,28865300
26/01/22,952.43,987.69,906.00,937.41,937.41,34955800
27/01/22,933.36,935.39,829.00,829.10,829.10,49036500
28/01/22,831.56,857.50,792.01,846.35,846.35,44929700
31/01/22,872.71,937.99,862.05,936.72,936.72,34812000
01/02/22,935.21,943.70,905.00,931.25,931.25,24379400
02/02/22,928.18,931.50,889.41,905.66,905.66,22264300
03/02/22,882.00,937.00,880.52,891.14,891.14,26285200
04/02/22,897.22,936.50,881.17,923.32,923.32,24541800
07/02/22,923.79,947.77,902.71,907.34,907.34,20331500
08/02/22,905.53,926.29,894.80,922.00,922.00,16909700
09/02/22,935.00,946.27,920.00,932.00,932.00,17419800
10/02/22,908.37,943.81,896.70,904.55,904.55,22042300
11/02/22,909.63,915.96,850.70,860.00,860.00,26548600
14/02/22,861.57,898.88,853.15,875.76,875.76,22585500
15/02/22,900.00,923.00,893.38,922.43,922.43,19095400
16/02/22,914.05,926.43,901.21,923.39,923.39,17098100
17/02/22,913.26,918.50,874.10,876.35,876.35,18392800
18/02/22,886.00,886.87,837.61,856.98,856.98,22833900
22/02/22,834.13,856.73,801.10,821.53,821.53,27762700
23/02/22,830.43,835.30,760.56,764.04,764.04,31752300
24/02/22,700.39,802.48,700.00,800.77,800.77,45107400
25/02/22,809.23,819.50,782.40,809.87,809.87,25355900
28/02/22,815.01,876.86,814.71,870.43,870.43,33002300
01/03/22,869.68,889.88,853.78,864.37,864.37,24922300
02/03/22,872.13,886.48,844.27,879.89,879.89,24881100
03/03/22,878.77,886.44,832.60,839.29,839.29,20541200
04/03/22,849.10,855.65,825.16,838.29,838.29,22333200
07/03/22,856.30,866.14,804.57,804.58,804.58,24164700
08/03/22,795.53,849.99,782.17,824.40,824.40,26799700
09/03/22,839.48,860.56,832.01,858.97,858.97,19728000
10/03/22,851.45,854.45,810.36,838.30,838.30,19549500
11/03/22,840.20,843.80,793.77,795.35,795.35,22345700
14/03/22,780.61,800.70,756.04,766.37,766.37,23717400
15/03/22,775.27,805.57,756.57,801.89,801.89,22280400
16/03/22,809.00,842.00,802.26,840.23,840.23,28009600
17/03/22,830.99,875.00,825.72,871.60,871.60,22194300
18/03/22,874.49,907.85,867.39,905.39,905.39,33471400
21/03/22,914.98,942.85,907.09,921.16,921.16,27327200
22/03/22,930.00,997.86,921.75,993.98,993.98,35289500
23/03/22,979.94,1040.70,976.40,999.11,999.11,40225400
24/03/22,1009.73,1024.49,988.80,1013.92,1013.92,22973600
25/03/22,1008.00,1021.80,997.32,1010.64,1010.64,20677200
28/03/22,1065.10,1097.88,1053.60,1091.84,1091.84,34168700
29/03/22,1107.99,1114.77,1073.11,1099.57,1099.57,24538300
30/03/22,1091.17,1113.95,1084.00,1093.99,1093.99,19955000
31/03/22,1094.57,1103.14,1076.64,1077.60,1077.60,16330900
01/04/22,1081.15,1094.75,1066.64,1084.59,1084.59,18087700
04/04/22,1089.38,1149.91,1072.53,1145.45,1145.45,27345300
05/04/22,1136.30,1152.87,1087.30,1091.26,1091.26,26691700
06/04/22,1073.47,1079.00,1027.70,1045.76,1045.76,29782800
07/04/22,1052.39,1076.59,1021.54,1057.26,1057.26,26482400
